title,company,job_category,job_area,salary_min,salary_max
প্রভাষক - ডিজাস্টার অ্যান্ড হিউম্যান সিকিউরিটিজ ম্যানেজমেন্ট,Bangladesh University of Professionals (BUP),Education/Training,মিরপুর,,
প্রভাষক - ফাইন্যান্স,Bangladesh University of Professionals (BUP),Education/Training,মিরপুর,,
প্রভাষক - ম্যানেজমেন্ট,Bangladesh University of Professionals (BUP),Education/Training,মিরপুর,,
প্রভাষক - ডেভেলপমেন্ট স্টাডিজ,Bangladesh University of Professionals (BUP),Education/Training,মিরপুর,,
প্রভাষক - মার্কেটিং,Bangladesh University of Professionals (BUP),Education/Training,মিরপুর,,
প্রভাষক - সোশিওলজি,Bangladesh University of Professionals (BUP),Education/Training,মিরপুর,,
প্রভাষক - আইসিই/ আইসিটি/ ইইই,Bangladesh University of Professionals (BUP),Education/Training,মিরপুর,,
Commercial Executive,ERE PLUS (BD) LTD,Commercial/Logistics,"Chattogram Sadar, Chattogram",,
সহকারি কুক/সেফ,Sad Coffee House,Marketing/Sales,"দিনাজপুর সদর, দিনাজপুর",,
Executive/Sr. Executiv(Business),TÜV SÜD Bangladesh (Pvt.) Ltd.,Admin/General Management,,,
ASSISTANT STORE MANAGER,Diamond World Ltd.,Others,Dhaka,,
Sr. Executive/ Executive- Sales & Marketing,Baly Integrated Solutions Ltd,Marketing/Sales,Anywhere in Bangladesh,,
Marketing Manager,Zaara's Beauty Lounge and Fitness Centre,Marketing/Sales,Dhanmondi,,
Executive - Project Management,General Electric,Project Management,Dhaka,,
Junior Architect,Gawsia Developers Ltd,Architect,Dhaka,,
Showroom Manager,Sampi Footwear,Marketing/Sales,Bogura,,
Accounts Officer,ASPADA Training Academy,Accounts/Finance,"Mymensingh Sadar, Mymensingh",,
Nationa Sales Manager/ Sales Manager,Matrica Food and Beverage,Marketing/Sales,Dhaka,,
Showroom Sales Executive,Talent Trackers,Marketing/Sales,Dhaka,,
Interior Designer,Neways International Company Limited,Architect,Shahbag,,
Java Programmer,Swosti Ltd.,IT/Software,Dhaka,20000.00,60000.00
Customer Service Executive,NNR Global Logistics (Representative Office),Customer Support/Call Center,Dhaka,,
Assistant Executive - Finance & Accounts (Sailor - Corporate),Noman Group,Accounts/Finance,Tejgaon,,
সহকারী ইন্জ্নায়ার/সিনিয়র টেকনিশিয়ান,NOVA Electronics,Engineer,"সাভার, ঢাকা",10000.00,18000.00
Executive - Sample (Narrow Fabric) (Garments Accessories),Epyllion Group,Garments/Textile,"Narayanganj, Dhaka",,
"Principal Advisor, Health Financing - LHSS Bangladesh",Abt Associates,R&D (Research and Development),Dhaka,,
Senior Officer – Risk and Compliance,Save the Children,Compliance,Dhaka,,
STORE MANAGER,Diamond World Ltd.,Supply Chain/Procurement/Purchase,Dhaka,,
Project Manager,mPower Social Enterprises Limited,Project Management,Banani,,
"Sr. Executive/Assistant Manager, Talent Management",mPower Social Enterprises Limited,Admin/General Management,Banani,25000.00,50000.00
Graphic Designer,Eskayef Pharmaceuticals Ltd.,IT/Software,Banani,,
"Sr. Manager, Brand Operations (Retail)",BYSL Global Technology Group,Others,Gulshan,,
"Sr. Manager, Marketplace Operations (E-Commerce)",BYSL Global Technology Group,Marketing/Sales,Gulshan,,
Assistant Product Manager,ACI Motors Limited,Admin/General Management,Dhaka,,
Junior Accountant,TASSLOCK,Accounts/Finance,Dhaka,,
Senior Executive - Marketing & Sales,Hasan Homes & Developers Ltd.,Marketing/Sales,"Paltan, Dhaka",,
Content Writing Contractor,Medina Tech,Others,Anywhere in Bangladesh,,
"Executive/ Senior Executive, Internal Audit (Civil Engineer)",Anwar Landmark Limited,Accounts/Finance,"Motijheel, Dhaka",,
"Assistant Manager, Media",vivo Bangladesh,Admin/General Management,"Gulshan, Dhaka",,
Sales Executive (Over phone),Leadswin Limited,Marketing/Sales,Anywhere in Bangladesh,12000.00,15000.00
সাঁট-মুদ্রাক্ষরিক কাম কম্পিউটার অপারেটর,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়",Data Entry/Operator/BPO,,11000.00,26590.00
অফিস সহকারী-কাম-কম্পিউটার মুদ্রাক্ষরিক,Posts and Telecommunications Division,Data Entry/Operator/BPO,,9300.00,22490.00
কম্পিউটার অপারেটর,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়",Data Entry/Operator/BPO,,11000.00,26590.00
"Medical Officer (General, ICU & Anesthesia)",Al-Karim General Hospital Limited,Medical/Healthcare Professional,Dhaka,,
Marketing Communications & Anaiist,Lab AR,Marketing/Sales,Agagaon,10000.00,15000.00
Senior Executive/Assistant Manager/Manager - HR & Admin,BBB Group,HR/Human Resource,Mirpur,30000.00,40000.00
Junior Frontend developer,Autonomy BD,IT/Software,Mirpur,30000.00,35000.00
"Executive, Billing and Activation",DIGI Jadoo Broadband Ltd.,Admin/General Management,Dhaka,,
Assistant Manager,Zaynax Health,Admin/General Management,,,
Marketing Executive,Income Tax Consultant AKSI Ltd.,Marketing/Sales,"Dhaka Railway, Dhaka, Dhaka",,
Senior Software Engineer,SJ Innovation,IT/Software,,,
Senior and Mid-Level QA Analyst,iHealthScreen Inc,IT/Software,,65000.00,120000.00
Block Chain Developer,voicetech-solutions,IT/Software,Dhaka,,
Python Developer,Cloudly.io,IT/Software,Dhaka,60000.00,100000.00
Python Developer,Cloudly,IT/Software,Mohakhali DOHS,60000.00,100000.00
Senior Software Engineer (Nodejs and AWS),UDPlatforms,IT/Software,,100000.00,150000.00
Senior Software Engineer,SJ Innovation,IT/Software,,,
Web Designer,tech novo,IT/Software,Mirpur Dhos,,
Sr. Office/ Officer,bkash Limited,Admin/General Management,,,
Full Stack Web Developer (MERN Stack),TechnTalents,IT/Software,,40000.00,75000.00
Corporate Sales Specialist,Enterprise 360 Ltd.,Marketing/Sales,,,
Asst. Manager - Quality Control (Lingerie Experienced only ),Lintas Bangladesh Co. Ltd,Compliance,Narayanganj,,
Senior Flutter Developer,PRAAVA HEALTH,IT/Software,,,
Graphics Designer (Intern),Total Tech Global,IT/Software,,,
Asst. Manager / Dy. Manager – Sales,Ranks Real Estate Ltd.,Marketing/Sales,Dhaka,,
Territory Manager Eastern Cluster,Robi Axiata Limited,Admin/General Management,,,
Sales Manager North Eastern Cluster.,Robi Axiata Limited,Marketing/Sales,Durgapur and Mirzapur,,
English Transcriber,Appen,Others,,,
Support Service Executive,Generation-Next IT Solution Ltd.,Others,Badda,,
Associate Creative Director,Daraz,Top Management,,,
React Developer,Toptal,IT/Software,,,
National Consultant: Assessment of available gender disaggregated data on migration in Bangladesh,UN Women,Consultancy,,,
Junior System Analyst,Invento Software Limited,IT/Software,New DOHS Mohakhali,,
Full Stack Engineer,Bit Byte Technology,IT/Software,,25000.00,30000.00
Head Of Treasury,SQ Group,Accounts/Finance,,,
Content Writer,ITBee,Others,Dhaka,,
Back-end Developer,Toptal,IT/Software,,,
Digital Marketing,Wardan Tech Ltd.,Others,Uttara,,
Wordpress Developer,RelinkBD,IT/Software,Sylhet,,
Ruby on Rails Developer,Toptal,IT/Software,,,
Assistant Front Office Manager,E. B. Solutions Ltd,Secretary/Receptionist,,,
Blockchain Developer,Toptal,IT/Software,,,
Blockchain Developer,Toptal,IT/Software,,,
Ruby on Rails Developer,Toptal,IT/Software,,,
Front-end Developer,Toptal,IT/Software,,,
React Native Developer,Toptal,IT/Software,,,
"""Android Developer""",Medina Tech,IT/Software,Banani,25000.00,45000.00
Full-Stack Developer,Toptal,IT/Software,,,
React Native Developer,Toptal,IT/Software,,,
Go Developer,Toptal,IT/Software,,,
Mobile Application Developer,Bayshore Communication,IT/Software,,,
iOS Developer(Freelance),Jailbreak VPN,IT/Software,,,
Virtual Intern or CO-OP – HR (Non- Paid),GAO Tek Inc.,Others,,,
Operations Consultant (Advisor),Jailbreak VPN,Consultancy,,,
Warehouse Clerk,MNC,Supply Chain/Procurement/Purchase,,,
Digital Marketing Intern,NapTech Labs,Others,,,
Manager- Quality Auditor (Lingerie Experience Only),Lintas Bangladesh Co. Ltd,Admin/General Management,Anywhere in Bangladesh,,
Insurance Claims Associate (Night Shift),Field Nation,Accounts/Finance,Uttara,30000.00,40000.00
Manager- Store (Factory),Baly Integrated Solutions Ltd,Supply Chain/Procurement/Purchase,"Savar, Dhaka",,
Digital Marketer Facbooka and Google,MC Solution BD,Media/Advertisement/Event Management,,15000.00,20000.00
Full Stack Software Engineer / Web Programmer (Mid-Level),Swosti Ltd.,IT/Software,Dhaka,20000.00,60000.00
DevOps Engineer,FreeConvert.com,IT/Software,,200000.00,300000.00
Live Presenter Wanted,Beauty Booth Bangladesh,Others,,,
Maintenance Manager,Reckitt Bangladesh,Engineer,,,
Distribution Centre Manager,Reckitt Bangladesh,Customer Support/Call Center,,,
Automobile Service Engineer,MOTOSERV,Engineer,,18000.00,22000.00
Head of Supply Chain,SQ Group,Supply Chain/Procurement/Purchase,,,
"Junior Assistant Manager, Training",Rural Power Company Limited,Admin/General Management,,,
"সহকারী শিক্ষক, ইংরেজি ভার্সন (কৃষিশিক্ষা)",Udayan Uchcha Madhyamik Bidyalaya,Education/Training,,,
Visualizer,Prionty Digital,Design/Creative,,,
Data Integration Application Developer/Analyst (Contractual),Metlife Dhaka,IT/Software,,,
Digital Development Manager,Banglalink,IT/Software,,,
Motion Graphic Designer,Trash Box,Design/Creative,Dhanmondi,,
অফিস সহায়ক,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়",Admin/General Management,Anywhere in Bangladesh,8250.00,20010.00
Assistant Manager,Aegis Services Ltd,Admin/General Management,Dhaka,,
Nurse-SC (Female),Concern Worldwide,Medical/Healthcare Professional,,,
Doctor-Stabilization Center,Concern Worldwide,Medical/Healthcare Professional,Coxs Bazar,,
E T Consultant,World Bank,Consultancy,Dhaka,,
Nurse-OTP/TSFP/BSFP,Concern Worldwide,Medical/Healthcare Professional,,,
Doctor-Stabilization Center,Concern Worldwide,Compliance,Cox’s Bazar,,
Community Mobilizer,Concern Worldwide,Top Management,Cox’s Bazar,,
Nutrition Site Supervisor,Concern Worldwide,Top Management,,,
Sr. Excecutive (Business Development),Univogue Garments Company Limited,Marketing/Sales,,,
Full stack developer (Vue JS and C#.Net),Bangladesh Software solutions (BSS),IT/Software,,40000.00,150000.00
Medical Promotion Officer,Opso Saline Limited,Medical/Healthcare Professional,Kazi Nazrul Islam Avenue,,
Counsellor,InspoXpert Consultants Bangladesh,Others,Dhaka,,
Lab Demonstrator,Scholars' School & College,Special Skilled Jobs,"Dhanmondi, Dhaka",,
Executive (Customer Service Management),Bestway Group,Customer Support/Call Center,Dhaka,,
Executive (Sales & Marketing),Alliance Tex Trade Pvt. Limited (ATTL),Marketing/Sales,"Uttara, Dhaka",12000.00,15000.00
হিসাবরক্ষক,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়",Accounts/Finance,Dhaka,11300.00,27300.00
ক্যাশিয়ার,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়",Accounts/Finance,Dhaka,10200.00,24680.00
Chief Technology Officer,Durbin Labs Limited,Admin/General Management,Dhaka,,
Senior Architect,Mistry Tech Ltd.,Architect,Dhaka,,
Sales Executive (IT),Creative Tech Park,IT/Software,Dhaka,,
"JUNIOR ANALYST - Dubai, UAE",Cobblestone Energy,IT/Software,"Dubai, UAE",,
Business Analyst,Strategic Holdings,Marketing/Sales,Dhaka,35000.00,50000.00
"Intern, International Sales & Trading",Brac Epl Stock Brokerage Ltd.,Marketing/Sales,Gulshan-1,,
Office Assistant,Bangladesh University of Engineering and Technology (BUET),Admin/General Management,ঢাকা,,
Business Development Manager,URBAN EDGE,Marketing/Sales,Banani,,
First Officer (TURBOPROP FLEET),US-Bangla Airlines,Special Skilled Jobs,"uttara, dhaka",,
Senior Executive/Assistant Manager/Manager - HR & Admin,BD Budget Beauty,Admin/General Management,Mirpur - 2,30000.00,40000.00
Wed & Content Developer,iHealthScreen Inc,Others,,25000.00,35000.00
Architect,REINCARNATION,Architect,"Gulshan, Dhaka, Dhaka",,
Architect,Building For Real Estate Ltd.,Architect,"Motijheel, Dhaka",,
Educational Consultant (Senior Position),Career Paths,Admin/General Management,"New DOHS, Mohakhali and Banani.",30000.00,50000.00
"Assistant Engineer, (Electrical)",Rural Power Company Limited,Engineer,Anywhere in Bangladesh,,
"Assistant Engineer, (Mechanical)",Rural Power Company Limited,Engineer,Anywhere in Bangladesh,,
Technical Services Officer- Animal Health Division,Eskayef Pharmaceuticals Ltd.,Marketing/Sales,Anywhere in Bangladesh,,
Head of Administration,ACI Limited,Admin/General Management,Tejgaon,,
সহকারী হিসাবরক্ষক,Udayan Uchcha Madhyamik Bidyalaya,Accounts/Finance,Dhaka,11000.00,26590.00
কম্পিউটার ল্যাব অপারেটর,Udayan Uchcha Madhyamik Bidyalaya,Data Entry/Operator/BPO,Dhaka,9300.00,22490.00
Junior Assistant Manager (HR/Admin/Training/Company Secretariat),Rural Power Company Limited,Admin/General Management,ঢাকা,,
Assistant Manager,Rural Power Company Limited,Admin/General Management,ঢাকা,,
সাঁট মুদ্রাক্ষরিক কাম কম্পিউটার অপারেটর,Posts and Telecommunications Division,Data Entry/Operator/BPO,ঢাকা,11000.00,26590.00
Manager (ICT/MIS),Rural Power Company Limited,IT/Software,ঢাকা,,
ক্যাশিয়ার,Posts and Telecommunications Division,Accounts/Finance,ঢাকা,10200.00,24680.00
অফিস সহকারী কাম কম্পিউটার মুদ্রাক্ষরিক,Posts and Telecommunications Division,Data Entry/Operator/BPO,ঢাকা,9300.00,22490.00
Sub-Assistant Engineer,Rural Power Company Limited,Engineer,ঢাকা,,
Assistant Engineer,Rural Power Company Limited,Engineer,ঢাকা,,
Officer/ Executive,MetroNet Bangladesh Limited,IT/Software,Dhaka,,
Marketing (Operation),Credence Housing Limited,Marketing/Sales,"Dhanmondi, Dhaka",,
Cashier,Posts and Telecommunications Division,Accounts/Finance,Dhaka,10200.00,24680.00
Accountant,Posts and Telecommunications Division,Accounts/Finance,Dhaka,11300.00,27300.00
Office Assistant Cum Computer Typist,Posts and Telecommunications Division,Admin/General Management,Dhaka,9300.00,22490.00
Computer Operator,Posts and Telecommunications Division,IT/Software,Dhaka,11000.00,26590.00
Office Sohayok,Posts and Telecommunications Division,Admin/General Management,Dhaka,8250.00,20010.00
Steno Typist cum Computer Operator,Posts and Telecommunications Division,IT/Software,Dhaka,11000.00,26590.00
সুপারভাইজার,Metro Express,Others,Anywhere in Bangladesh,,
Accountant,Paramount Textile Ltd.,Accounts/Finance,,15000.00,18000.00
SQA Engineer,Spring Rain,IT/Software,Dhaka,30000.00,40000.00
"Analyst, Fraud Risk Management, CPBB",Standard Chartered,Admin/General Management,Dhaka,,
"Officer, STS & PO DD",Standard Chartered,Admin/General Management,Anywhere in Bangladesh,,
Solution Architect (AWS),MazeGeek Technologies BD Ltd.,Architect,Dhaka,200000.00,250000.00
"Telesales Specialist""",Dizit LTD,Marketing/Sales,"Banani, Dhaka.",14000.00,20000.00
Recruitment Specialist,Efficient Lighting Technology,HR/Human Resource,Dhaka,,
Executive/Senior Executive (Accounts),M3 Technologies,Accounts/Finance,"Agrabad, Chattogram",,
Executive - HR,EFS Facilities Services ( Bangladesh ) Pvt. Ltd,HR/Human Resource,Dhaka,,
Call Center Executive,Altruist Technologies Ltd,Customer Support/Call Center,Baridha DOHS,,
Vendor acquisition Executive,Piara Bazar Bangladesh,Admin/General Management,,,
Support Coordinator,Field Nation,IT/Software,"Uttara, Dhaka",20000.00,30000.00
"Senior Sales Executive, Footwear",Coats Bangladesh Ltd,Marketing/Sales,Dhaka,,
গাড়ী চালক (অস্থায়ী),Islami Bank Bangladesh Limited,Special Skilled Jobs,Dhaka,,
Assistant Secretary,Islamic University of Technology (IUT),Admin/General Management,"BOARD BAZAR, GAZIPUR",,
Telesales Associate,Milvik Bangladesh,Marketing/Sales,Dhaka,,
Manager (Payable & Receivable),Mir Group,Admin/General Management,,,
সিনিয়র অফিস এক্সিকিউটিভ,SME Trade Corporation,Marketing/Sales,ঢাকা,,
"Executive, Fulfillment Dept. (Supply Chain), Jatrabari Area",Ajkerdeal.com Ltd,Supply Chain/Procurement/Purchase,"Badda, Rampura, Dhaka",9000.00,10000.00
Executive/Sr. Executive,TEAM Group,Admin/General Management,"Kaichabari, Baipail, Savar",,
Brand Manager sales,Enroute International Limited,Marketing/Sales,Dhaka,,
Sales Manager,T.K. Group,Marketing/Sales,Anywhere in Bangladesh,,
Intern in Accounts & Finance,American Embassy Employees Association,Others,,,
Executive/ Sr. Executive,Avior Limited,Admin/General Management,Chattogram,,
শিক্ষক আবশ্যক,Siraj Mia Memorial School,Marketing/Sales,"বাড্ডা, ঢাকা",,
General Manager (Sales & Marketing),Bestway Group,Marketing/Sales,Dhaka,,
Marketing And Public Relations Manager,Cathweld Construction Company Limited,Media/Advertisement/Event Management,,30000.00,40000.00
Mid-Level Backend Engineer,HypeScout,IT/Software,Dhaka,,
"Senior Manager, Quality Control",Aarong,Compliance,Dhaka,,
iOS Developer,Aventra Consultant,IT/Software,Dhaka,,
Product developer,Fashion Asia Supplies Tape A l’oeil Limited,Production/Operation,,,
Education Counselor,EduExpress,Consultancy,Gulshan,,
Senior Graphic Designer,Future it care,Design/Creative,,,
Logistics and Supply Chain - Talent Community,Kuehne+Nagel,Supply Chain/Procurement/Purchase,Anywhere in Bangladesh,,
English Teacher,Sunshine Grammar School,Education/Training,"Nasirabad, Chattogram",,
Content Specialist,Pidex,Others,,,
UI/UX Designer,ASHIK LLC Bangladesh,Design/Creative,Anywhere in Bangladesh,,
Key Account Executive - Mobile & Tablets,Daraz,Accounts/Finance,,,
Content Writer,Prefeex,Others,,,
Executive – Customer Care,Link3 Technologies Limited,Customer Support/Call Center,Dhaka,,
Work From Home Project for Bengali Speakers,Appen,Marketing/Sales,,,
Fashion Designer,Festivibe,Garments/Textile,Gulshan,30000.00,40000.00
Campaign Executive,GIM - Digital Truck,Admin/General Management,Dhaka,,
Architect / INTERIOR DESIGNER & 3D ARTIST,The Arch Interior,Design/Creative,Dhanmondi,,
Web Developer,TechnTalents,IT/Software,,30000.00,40000.00
Administrator,International NGO Safety Organisation,Admin/General Management,,,
Inside Sales Representative,Varnel Limited,Marketing/Sales,,,
Experienced PHP Laravel Frontend Developer,Softozen,IT/Software,,,
CCTV & Access Control Engineer,S and S Computer Solution,Security/Support Service,Dhaka,,
Senior Teacher/ Teacher (Biology),Al-Hidaayah International School,Education/Training,Chattogram,,
Copywriter,Tagore Global,Others,,,
Dotnet & Angular Developer,Streams Tech Ltd,IT/Software,Dhaka,60000.00,200000.00
LAB Attendant,Scholars' School & College,Special Skilled Jobs,"Dhanmondi, Dhaka",,
Content Specialist,Pidex,Others,,,
Electrician,Nur Empori,Others,"Banani, Dhaka",,
"Manager, Enterprise Relationship Management",Robi Axiata Limited,Marketing/Sales,Dhaka,,
Teaching Assistant (Remote),Shikho,Education/Training,,10000.00,12000.00
Digital Media Intern,RainCloud Communications,Media/Advertisement/Event Management,Dhaka,,
Account Manager_1.1.2022,Robi Axiata Limited,Accounts/Finance,,,
"Internship Opportunity at GAO Tek Inc ( Unpaid, Virtual)",GAO Tek Inc.,Others,,,
Senior Education Consultant & Compliance Manager,Edroll,Compliance,,,
Paid Intern - Marketing (Female),GCL International BD Limited,Others,,,
SEO Interns,WeNexus,Others,,,
Senior Frontend Developer,KONA Software Lab Ltd,IT/Software,,,
Trainee Visual Designer,DEBUGGERS STUDIO,Others,"Faridabad, Dhakshinkhan",4000.00,6000.00
PowerPoint Specialist,Riseup Labs,Marketing/Sales,Uttara,,
Flutter Application Developer,Krishian,IT/Software,Dhaka,,
"Deputy General Manager, Budget and Analysis, BRAC International (Re-Advertisement)",BRAC,Admin/General Management,Dhaka,,
"Specialist, Digital Innovation & New Core",Robi Axiata Limited,IT/Software,,,
"Manager, Innovation & New Core",Robi Axiata Limited,Admin/General Management,,,
"ইন্সট্রাক্টর, মোটর ড্রাইভিং কাম অটোমেকানিক্স",Dhaka Ahsania Mission,Education/Training,"দামপাড়া, আশুলিয়া, সাভার",,
Front-end developer (Angular),CholPori,IT/Software,,70000.00,100000.00
Domain Consultant,Wipro Enterprises,Consultancy,,,
"Senior Executive, Site Acquisition & Mgmt",edotco Bangladesh Co. Ltd.,IT/Software,,,
React developer,M360 ICT,IT/Software,"House: 30 CWN (A), Road: 42-43, Gulshan 2, Dhaka – 1212, Bangladesh",,
Technical Project manager,Labaid,Project Management,,,
Full Stack Developers,Labaid,IT/Software,,30000.00,60000.00
Chief Financial Officer (CFO) & Company Secretary (CS),AB Securitas Bangladesh Limited,Accounts/Finance,Dhaka,,
Technical Lead - Software Development,Dana Fintech,IT/Software,,,
CodeIgniter & Laravel Developer,M360 ICT,IT/Software,Gulshan 2,,
Frontend Developer (React Native),Cloud Production,IT/Software,Dhaka,45000.00,85000.00
Senior WordPress Engineers,StorePress,IT/Software,Mirpur DOHS,40000.00,120000.00
Senior Flutter Developer,Labaid,IT/Software,,45000.00,60000.00
Software Engineer/Senior Software Engineer (Node & React),Spring Rain,IT/Software,Gulshan-01,50000.00,80000.00
Web Designer (PSD to HTML),Labaid,IT/Software,"Uttara, Dhaka",15000.00,25000.00
Dot Net Intern,Quad Theory Limited,Others,,,
Territory Sales Officer Trainee,Rough Khata,Others,Dhaka,,
"Sr. Laravel Developer, Sr. Laravel Developer",Akaar IT Ltd.,IT/Software,,,
Officer/Sr. Officer- Technology,Asianpaints,IT/Software,Gazipur Plant,,
Wed & Content Developer,Rough Khata,Others,,25000.00,35000.00
Floor Manager,Upcoming Fine Dining Restaurant,Marketing/Sales,"Gulshan, Dhaka",,
Pioneering HR Outsourcing,Enroute International Limited,HR/Human Resource,,30000.00,40000.00
"Software Engineer Night shift (Python,, Software EngineerNight ShiftVacancy=",QUPS,IT/Software,Khilgaon,,
Senior Frontend Developer(Javascript expert),Tikweb,IT/Software,Dhaka,45000.00,75000.00
Automation Engineer,Brain Station 23,IT/Software,,,
"WordPress Developer Plugin & Theme Developer, Expert Wordpress Plugin &Theme Developer",Orbit Technologies,IT/Software,,,
MICROSERVICE ARCHITECT (JAVA),eGeneration Ltd.,IT/Software,,,
MS-SQL developer,Digital Intelligence System LTD,IT/Software,,,
FULL STACK WEB DEVELOPER,BDSOFTFAIR,IT/Software,Dhaka,,
"Sr./ Assistant Engineer, Mechanical",Best Foods and Beverage Limited,Engineer,Chuadanga,,
Head Chef - In charge of the Kitchen,Upcoming Fine Dining Restaurant,Security/Support Service,"Gulshan, Dhaka",,
Project Manager,Tekken Corporation,Project Management,Anywhere in Bangladesh,,
Manager / Assistant Manager (Sales & Marketing),Bestway Group,Marketing/Sales,Dhaka,,
Executive Officer,Bangladesh University of Engineering and Technology (BUET),Admin/General Management,ঢাকা,,
Associate,MCLaw Services Ltd.,IT/Software,Dhaka,,
Project Officer,Bright Bangladesh Forum,Project Management,Anywhere in Bangladesh,,
Senior Executive / Executive (Sales & Marketing),Bestway Group,Marketing/Sales,Dhaka,,
Senior Technical Business Analyst.,iHealthScreen Inc,Marketing/Sales,,70000.00,130000.00
চুলকাটা কারিগর,Noor Gents Parlar and Salon,Marketing/Sales,"উত্তরা, ঢাকা",,
Executive (Calibration & Inspection),Standard Calibration Service Pvt Ltd,Admin/General Management,Dhaka,,
Office Assistant,Speed Ex,Admin/General Management,বাংলাদেশের যেকোনো স্থানে,,
Personal Secretary to Chairman & CEO,Bestway Group,Secretary/Receptionist,Dhaka,,
Front Office Manager/ Assistant Front Office Manager,Salam Group,Security/Support Service,"Khulna Sadar, Khulna",,
Customer Support Executive,Kholabazaar International Ltd.,Customer Support/Call Center,Dhaka,,
Student Counselor & Visa officer,BESI Study Consultancy,Consultancy,Dhaka,,
UI/UX Design Intern,Jamroll Limited,Others,Dhaka,,
হোটেল এর জন্য কারিগর,ZISAN FOOD and BEVERAGE LTD,Restaurant/Kitchen/Food,"Badda, Dhaka",15000.00,16500.00
Customer Relations Specialist,Esharaa.com,Customer Support/Call Center,Gulshan,15000.00,20000.00
"Senior Executive, Commercial",S. F. Denim Apparels Ltd.,Commercial/Logistics,Dhaka,,
Management Trainee - Garments Planning,South East Textiles (Pvt.) Ltd.  (A unit of Interstoff Group),Others,"Mirzapur, Tangail",,
Production In-Charge,Best Foods and Beverage Limited,Production/Operation,Chuadanga,,
Deputy General Manager / Assistant General Manager (Sales & Marketing),Bestway Group,Marketing/Sales,Dhaka,,
Sous Chef,Upcoming Fine Dining Restaurant,Restaurant/Kitchen/Food,"Gulshan, Dhaka",,
Front Desk Executive (Female),Khandaker Law and Lexicon,Security/Support Service,Dhaka,,
Graduate Trainee under Young Talent Program,Robi Axiata Limited,Others,,,
Brand Officer,Nestlé Bangladesh,Marketing/Sales,,,
ট্রেড মার্কেটিং রিপ্রেজেন্টেটিভ (TMR),Abul Khair Tobacco Company Ltd.,Marketing/Sales,Anywhere in Bangladesh,,
Student Consultant Officer,Foring Media Academy,Consultancy,Dhaka,,
Officer - Logistics,M & U Packaging Ltd.,Commercial/Logistics,Gazipur,,
"Executive-Commercial, Export (Garment Accessories)",International Trimmings & Labels Bangladesh Private Limited,Marketing/Sales,"Uttara West, Dhaka",,
Executive-Commercial (Garment Accessories),International Trimmings & Labels Bangladesh Private Limited,Marketing/Sales,"Sreepur, Gazipur",,
"Executive, Billing and Activation",DIGI Jadoo Broadband Ltd.,Admin/General Management,Dhaka,,
সেলস অফিসার / মার্কেটিং অফিসার,Century Agro Limited,Marketing/Sales,বাংলাদেশের যেকোনো স্থানে,,
Senior Backend Engineer,Pelago Bangladesh,IT/Software,Dhaka,,
Food Technologist/ Chemist,Bruvana Group,Special Skilled Jobs,Anywhere in Bangladesh,,
Recruitment of Retired Police Officers (Transport Manager),Alif Enterprise,HR/Human Resource,Dhaka,,
Senior System Engineer - Bangladesh (Contract) - Opportunity for Working Remotely,VMware,Engineer,,,
Marketing Executive,Income Tax Consultant AKSI Ltd.,Marketing/Sales,"Dhaka Railway, Dhaka, Dhaka",,
Relationship Associate,Sentry Security Services Ltd,Customer Support/Call Center,Anywhere in Bangladesh,,
Project Coordinator,Whistle Limited,Project Management,"Kalabagan, Dhaka",,
Executive-Taxation & Corporate affairs,International Trimmings & Labels Bangladesh Private Limited,Media/Advertisement/Event Management,"Uttara West, Dhaka",,
Student Counselor,AIMS Education,Consultancy,"Banani, Dhaka",,
Blockchain Developer,Softcent,IT/Software,Dhaka,,
Business Associate,JobXprss,Marketing/Sales,,,
Flutter Developer,JobXprss,IT/Software,,20000.00,250000.00
Cashier - POS,Upcoming Fine Dining Restaurant,Accounts/Finance,"Gulshan, Dhaka",,
SALES OFFICER,Air Dotcom Tours and Travels,Marketing/Sales,Dhaka,13000.00,15000.00
Industrial Production Engineer,Bruvana Group,Engineer,Anywhere in Bangladesh,,
Admin Assistant,Technology & Business Solutions Ltd. (TBS),Admin/General Management,Banani,,
Child Protection Manager – Case Management,International Rescue Committee (IRC),Accounts/Finance,Ukhiya,,
SALES EXECUTIVE,SSY BD. International,Marketing/Sales,Dhaka,10000.00,12000.00
"CursorHighlight LinksShow HeadingsReading GuideDownload, Program Manager, Project Planning,",CARE Bangladesh,Project Management,,,
Net Core Architect,BJIT Limited,Architect,,,
Ruby Developer,Colgis BD,,,40000.00,70000.00
.Net Core Architect,BJIT Limited,,Dhaka✪,,
Laravel Developer,JobXprss,IT/Software,,20000.00,250000.00
Android Developer (Native),JobXprss,IT/Software,,20000.00,250000.00
React Developer,JobXprss,IT/Software,,20000.00,250000.00
Node.js Developer,JobXprss,IT/Software,,20000.00,250000.00
