title,company,job_category,job_area,salary_min,salary_max
অফিস সহায়ক,Investment Corporation of Bangladesh,Marketing/Sales,Anywhere in Bangladesh,8250.00,20010.00
অফিস সহায়ক কাম পিয়ন,Sher-E-Bangla Balika Mahavidyalaya,Admin/General Management,Dhaka,,
Teacher,Progati Model School,Education/Training,"Savar, Dhaka",,
দারোয়ান,Sher E Bangla Balika Mahavidyalaya,Security/Support Service,Dhaka,,
Associate Professor,ASA University Bangladesh,Education/Training,Dhaka,,
Accounts Executive,NS Progressive Construction and Engineers Ltd.,Accounts/Finance,"Mohammadpur, Dhaka",,
আইন উপদেষ্টা,Chittagong Port Authority,Consultancy,,,
Jr. Instructor for Telecommunication Technology,Daffodil Polytechnic Institute,Education/Training,Dhaka,,
Estate Officer,Bangladesh Army University of Science & Technology,Customer Support/Call Center,,22000.00,53060.00
Bookkeeping and Invoicing Specialist,BB Imaging,Marketing/Sales,United states,,
Manager Operation,Irving Enterprise,Admin/General Management,Dhaka,,
Chef (Bangla Food),Test of Bangol,Restaurant/Kitchen/Food,"গুলশান, ঢাকা",,
Assistant  Professor,ASA University Bangladesh,Education/Training,Dhaka,,
Engineer/Sr. Engineer-Oracle ERP Support Team-Supply Chain & Manufacturing Modules,Eco Threads & Yarns,Others,"Uttara, Gazipur, Dhaka",,
Assistant Production Officer/ Production Officer,Ha-Meem Spinning Mills Ltd.,Production/Operation,"Sreepur, Gazipur",,
Electrical Engineer,Bangladesh Army University of Science & Technology,Engineer,,,
Visualizer,(COnet) Communication Network,Design/Creative,Dhaka,,
Administrative Officer,Bangladesh Army University of Science & Technology,Admin/General Management,,,
Sales & POS Assistant,Outlets - K Bakery,Marketing/Sales,Chattogram,,
"Advisor – Newborn Health (Govt. Support), MaMoni, MNCSP",Save the Children,Consultancy,,,
Digital & Marketing Operations Coordinator - Dhaka,Qatar Airways,Marketing/Sales,,,
Internship Mechanical Engineer,Lipy Paper Mills Limited,Engineer,,,
NFT Developer (Freelancer),Easy Work,IT/Software,,,
Telesales Specialist,HishaBee Technologies Limited,Marketing/Sales,"Level 2, 145/1 Green Road (Crescent Plaza), Farmgate",,
LMI Business Partner,"LMI India, Leadership Management International",Marketing/Sales,,,
Abacus Instructor,Mojaru,Education/Training,"Shahjahanpur, Bagicha, Khilgaon",,
Lecturer - Physics,Bharateswari Homes,Education/Training,,,
Assistant Teacher - English,Bharateswari Homes,Education/Training,,,
Assistant Teacher - Mathematics,Bharateswari Homes,Education/Training,,,
Assistant Teacher - Physics,Bharateswari Homes,Education/Training,,,
Lecturer (Math),Dhaka International University,Education/Training,Banani,,
Office Assistant Cum Computer Typist,Bangladesh Supreme Court Bar Association,Admin/General Management,Dhaka,9300.00,22490.00
Typist cum Office Assistant,Bangladesh Supreme Court Bar Association,Admin/General Management,Dhaka,9300.00,22490.00
Data Entry Control Operator,Bangladesh Supreme Court Bar Association,Data Entry/Operator/BPO,Dhaka,9300.00,22490.00
Officer-Packing & Maintenance,Bangladesh Edible Oil Limited,Admin/General Management,,,
Assistant Executive-Rice Operations (Business Development),Bangladesh Edible Oil Limited,Admin/General Management,,,
Junior Advisor/ Advisor- Economic Cooperation and Privat Sector Development,GIZ Bangladesh,Project Management,,,
"Senior Officer, Transport & Workshop",BRAC,Admin/General Management,,,
Translator (English),BRAC,Others,,,
"Analyst, Material Development",BRAC Enterprises,Others,,,
Nurse (Female),"Cantonment English School and College, Chattogram",Medical/Healthcare Professional,Chitagong,13700.00,31070.00
Photocopy Machine Operator,Bangladesh Supreme Court Bar Association,Others,,9000.00,21800.00
MLSS,Bangladesh Supreme Court Bar Association,Others,,8250.00,20010.00
Stenographer,Bangladesh Supreme Court Bar Association,IT/Software,Dhaka,11000.00,26590.00
Steno Typist cum Computer Operator,Bangladesh Supreme Court Bar Association,Data Entry/Operator/BPO,,10200.00,24680.00
"Deputy Manager / Manager, Customer Lifecycle Management",Sheba.xyz,Admin/General Management,,,
Communication and Advocacy Manager,CARE Bangladesh,Media/Advertisement/Event Management,,,
Surveyor Cum Supervisor,PLN Construction Ltd,Others,Anywhere in Bangladesh,,
Financial Analyst,WEX,Accounts/Finance,United states,,
"প্রভাষক, বিএড",Daffodil Institute of IT (DIIT),Education/Training,Uttara,,
"শিক্ষক, ইসলাম ও নৈতিক শিক্ষা (স্কুল শাখা)",Siiraj Uddin Sarkar Bidyaniketan and College,Education/Training,,,
অধ্যক্ষ,Daffodil Institute of IT (DIIT),Education/Training,Uttara,,
"Lecturer, Physics",Southpoint School & College,Education/Training,,,
"Lecturer, English",Southpoint School & College,Education/Training,,,
"শিক্ষক, বাংলা (স্কুল শাখা)",Siiraj Uddin Sarkar Bidyaniketan and College,Education/Training,,,
"প্রভাষক, বাংলা (কলেজ শাখা)",Siiraj Uddin Sarkar Bidyaniketan and College,Education/Training,,,
"প্রভাষক, ইংরেজি (কলেজ শাখা)",Siiraj Uddin Sarkar Bidyaniketan and College,Education/Training,,,
"প্রভাষক, যুক্তিবিদ্যা (কলেজ শাখা)",Kazem Ali School and College,Education/Training,Chattagram,,
কম্পিউটার ল্যাব সহকারী,Kazem Ali School and College,Special Skilled Jobs,Chattagram,,
"সহকারী শিক্ষক, রসায়ন (স্কুল শাখা)",Kazem Ali School and College,Education/Training,,,
"সহকারী শিক্ষক, ইংরেজী (স্কুল শাখা)",Kazem Ali School and College,Education/Training,Chattagram,,
"প্রভাষক, কম্পিউটার সায়েন্স এন্ড ইঞ্জিনিয়ারিং",Daffodil Institute of IT (DIIT),Education/Training,Uttara,,
"প্রভাষক, গ্রন্থাগার ও তথ্য বিজ্ঞান (ডিপ্লোমা)",Daffodil Institute of IT (DIIT),Marketing/Sales,Uttara,,
"প্রভাষক, ইংরেজি",Daffodil Institute of IT (DIIT),Education/Training,Uttara,,
"অপারেটর, গ্রেড-১ (প্যাকেজিং মেশিন)",Bashundhara Group,Others,,,
Supervisor (R & D),Jamuna Group,Others,,,
রিজিওনাল সেলস ম্যানেজার,Future Feed Bangladesh Ltd.,Marketing/Sales,বাংলাদেশের যেকোনো স্থানে,,
"অপারেটর, গ্রেড-১ (ওভেন)",Bashundhara Group,Production/Operation,,,
এরিয়া ম্যানেজার,Future Feed Bangladesh Ltd.,Marketing/Sales,বাংলাদেশের যেকোনো স্থানে,,
সিনিয়র সেলস অফিসার,Future Feed Bangladesh Ltd.,Marketing/Sales,বাংলাদেশের যেকোনো স্থানে,,
Audit Assistant,Titas Gas Transmission and Distribution Company Limited,Accounts/Finance,Anywhere in Bangladesh,11000.00,26590.00
সেলস অফিসার,Future Feed Bangladesh Ltd.,Marketing/Sales,বাংলাদেশের যেকোনো স্থানে,,
"অপারেটর, গ্রেড-১ (প্রসেসিং লাইন)",Bashundhara Group,Others,,,
Chief Accountant,Mohona TV Limited,Accounts/Finance,,,
Graphics Designer,Mohona TV Limited,Design/Creative,Dhaka,,
MCR Executive,Mohona TV Limited,Admin/General Management,Dhaka,,
IT Engineer,Mohona TV Limited,Engineer,Dhaka,35000.00,40000.00
Architect,Mohona TV Limited,Architect,Dhaka,35000.00,40000.00
Electrical Engineer,Mohona TV Limited,Engineer,Dhaka,30000.00,35000.00
Administrative Officer,Mohona TV Limited,Admin/General Management,Dhaka,30000.00,35000.00
Medical Assistant,Titas Gas Transmission and Distribution Company Limited,Medical/Healthcare Professional,Anywhere in Bangladesh,12500.00,30230.00
Waiter,Ideal Food Products,Restaurant/Kitchen/Food,Dhaka,8000.00,15000.00
Veterinary Doctor,SS Agro,Medical/Healthcare Professional,Dhaka,40000.00,45000.00
Fisheries Officer,SS Agro,Admin/General Management,Dhaka,30000.00,40000.00
Project Designer (Female),The Spark,Project Management,Dhaka,,
Executive-Corporate Sales,The Spark,Marketing/Sales,Dhaka,,
Service Engineer-Technical,The Spark,Marketing/Sales,Dhaka,,
Agriculture Officer,SS Agro,Agro (Plant/Animal/Fisheries),Dhaka,30000.00,40000.00
একাউন্ট্যান্ট (পুরুষ),SEBA Limited,Accounts/Finance,,,
এরিয়া সেলস ম্যানেজার (এ.এস.এম),Healthy Choice Food & Beverage Ltd.,Marketing/Sales,বাংলাদেশের যেকোনো স্থানে,,
এরিয়া ম্যানেজার (পুরুষ),SEBA Limited,Marketing/Sales,,,
ব্রাঞ্চ ম্যানেজার (পুরুষ),Socio Economic Backing Association SEBA,Others,,30500.00,34395.00
"কমিউনিটি ম্যানেজার, A (মাঠকর্মী)",SEBA Limited,Admin/General Management,,,
"কমিউনিটি ম্যানেজার, B (মাঠকর্মী)",SEBA Limited,Admin/General Management,,,
National Consultant - WASH Sector Coordination,UNICEF,Admin/General Management,,,
Sr. Executive/ Executive - Corporate Sales,US-Bangla Airlines,Admin/General Management,Dhaka,,
Improver,Titas Gas Transmission and Distribution Company Limited,Others,Anywhere in Bangladesh,9300.00,22490.00
Cameraman,Titas Gas Transmission and Distribution Company Limited,Others,Anywhere in Bangladesh,10200.00,24680.00
Draftsman,Titas Gas Transmission and Distribution Company Limited,Engineer,Anywhere in Bangladesh,11300.00,27300.00
Surveyor,Titas Gas Transmission and Distribution Company Limited,Engineer,Anywhere in Bangladesh,11000.00,26590.00
Radio Operator,Titas Gas Transmission and Distribution Company Limited,Special Skilled Jobs,Anywhere in Bangladesh,11000.00,26590.00
Technician,Titas Gas Transmission and Distribution Company Limited,Others,Anywhere in Bangladesh,11000.00,26590.00
Electrician,Titas Gas Transmission and Distribution Company Limited,Others,Anywhere in Bangladesh,,
Equipment Operator,Titas Gas Transmission and Distribution Company Limited,Others,Anywhere in Bangladesh,11000.00,26590.00
Sales Assistant,Titas Gas Transmission and Distribution Company Limited,Marketing/Sales,Anywhere in Bangladesh,11000.00,26590.00
Cook,Titas Gas Transmission and Distribution Company Limited,Security/Support Service,Anywhere in Bangladesh,9300.00,22490.00
Clark (General),Titas Gas Transmission and Distribution Company Limited,Admin/General Management,Anywhere in Bangladesh,9300.00,22490.00
Store Man,Titas Gas Transmission and Distribution Company Limited,Supply Chain/Procurement/Purchase,Anywhere in Bangladesh,9300.00,22490.00
Legal Assistant,Titas Gas Transmission and Distribution Company Limited,Law/Legal,Anywhere in Bangladesh,11000.00,26590.00
Despatch Rider,Titas Gas Transmission and Distribution Company Limited,Special Skilled Jobs,Anywhere in Bangladesh,9300.00,22490.00
Store Keeper,Titas Gas Transmission and Distribution Company Limited,Supply Chain/Procurement/Purchase,Anywhere in Bangladesh,11000.00,26590.00
Record Keeper,Titas Gas Transmission and Distribution Company Limited,Data Entry/Operator/BPO,Anywhere in Bangladesh,9300.00,22490.00
Cashier,Titas Gas Transmission and Distribution Company Limited,Accounts/Finance,Anywhere in Bangladesh,11000.00,26590.00
Office Assistant,Titas Gas Transmission and Distribution Company Limited,Admin/General Management,Anywhere in Bangladesh,11000.00,26590.00
Security Supervisor,Mohona TV Limited,Security/Support Service,,,
Accounts Assistant,Titas Gas Transmission and Distribution Company Limited,Accounts/Finance,Anywhere in Bangladesh,11000.00,26590.00
Makeup Man,Mohona TV Limited,Beauty Care/Health and Fitness,Dhaka,,
অধ্যক্ষ,Tajweedul Quran Ideal Madrasah,Marketing/Sales,চট্টগ্রাম,,
Vocalist,Mohona TV Limited,Others,Dhaka,,
Program Presenter,Mohona TV Limited,Media/Advertisement/Event Management,Dhaka,,
Librarian,Bangladesh University of Textile,Education/Training,,56500.00,74400.00
Helper,Titas Gas Transmission and Distribution Company Limited,Others,Anywhere in Bangladesh,8800.00,21310.00
Gardener,Titas Gas Transmission and Distribution Company Limited,Security/Support Service,Anywhere in Bangladesh,8800.00,21310.00
Territory Sales Officer,Ayaan Nishat Agro Ltd,Marketing/Sales,Anywhere in Bangladesh,,
